PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
PELHAM BAY PARK,BRONX        ,2771.747,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
VAN CORTLANDT PARK,BRONX        ,1146.43,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,1,2023
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,1,2023
FRESHKILLS PARK,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,ONE ACRE OR LARGER,0.0,0,3,0,0,3,2,8,1,2023
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MARINE PARK,BROOKLYN     ,798.0,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,1,2023
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BRONX PARK,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0,2,0,0,0,0,2,1,2023
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ALLEY POND PARK,QUEENS       ,635.514,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,1,2023
PROSPECT PARK,BROOKLYN     ,526.25,ONE ACRE OR LARGER,0.0,0,3,0,0,0,0,3,1,2023
FOREST PARK,QUEENS       ,506.86,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GRAND CENTRAL PARKWAY,QUEENS       ,460.16,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FERRY POINT PARK,BRONX        ,413.8,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
